id,status,userId,username,problemId,timeUsed,memoryUsed,submitTime,ip,compilerId,source,codeLength,contestId,errorMessage
2874047,0,16826,机械类2006牛佳辉,160,0,220,1624951677,192.168.0.96,2,"#include<stdio.h>
int main()
{
	float a;
	scanf(""%g"",&a);
	if(a>0&&a<1000)
	{
		printf(""discount=1,pay=%g\n"",a);
	}
	if(a>=1000&&a<2000)
	{
		printf(""discount=0.95,pay=%g\n"",a=a*0.95);
	}
	if(a>=2000&&a<3000)
	{
		printf(""discount=0.9,pay=%g\n"",a=a*0.9);
	}
	if(a>=3000&&a<5000)
	{
		printf(""discount=0.85,pay=%g\n"",a=a*0.85);
	}
	if(a>=5000)
	{
		printf(""discount=0.8,pay=%g\n"",a=a*0.8);
	}
	return 0;
}",404,517,
2874048,0,16786,Albatron泠凌,77,0,220,1624951677,192.168.0.96,2,"#include <stdio.h>
int main()
{
    double a,b,c;
    scanf(""%lf %lf"",&a,&b);
    if(a<=0||a>=168)
    {
        printf(""input is wrong!\n"");
    }
    else
    {
        if(a<40)
        {
            c=a*b;
        }
        else
        {
            if(a<=60)
            {
                c=40*b+(a-40)*1.5*b;
            }
            else
            {
                c=40*b+20*1.5*b+(a-60)*3*b;
            }
        }
        printf(""%g\n"",c);
    }
    return 0;
}",475,537,
2874050,0,16786,Albatron泠凌,78,0,216,1624951695,192.168.0.96,2,"#include<stdio.h>
#include<string.h>
int main(){	
	int d,m,y,a;
	int b[]={31,28,31,30,31,30,31,31,30,31,30,31};
	while(~scanf(""%d%d%d"",&y,&m,&d))
	{
		int w,c=0,e;
		for(int i=0;i<m-1;i++)
		{
			c=c+b[i] ;
		}
		w=(y-1)*365+(y-1)/4-(y-1)/100+(y-1)/400+c+d;
		switch(e=w%7)
		{
			case 1:printf(""Monday\n"");break;
			case 2:printf(""Tuesday\n"");break;
			case 3:printf(""Wednesday\n"");break;
			case 4:printf(""Thusday\n"");break;
			case 5:printf(""Friday\n"");break;
			case 6:printf(""Saturday\n"");break;
			case 0:printf(""Sunday\n"");break;
		}
		
		
	}
	return 0;
} ",563,537,
2874052,0,16875,5120200964,299,0,224,1624951698,192.168.0.96,2,"#include<stdio.h>
int f(int n)
{
	if(n==1)
	return 1;
	else
	return f(n-1)+n*n;
} 
int main()
{
	int n,f(int n);
	scanf(""%d"",&n);
	printf(""%d\n"",f(n));
	return 0;
}
",165,538,
2874054,0,16786,Albatron泠凌,276,0,220,1624951711,192.168.0.96,2,"#include<stdio.h>
int main()
{
    int a,b;
    char c;
    while(~scanf(""%d%c%d"",&a,&c,&b))
    {
        if(c=='+')
            printf(""%d%c%d=%d\n"",a,c,b,a+b);
        if(c=='-')
            printf(""%d%c%d=%d\n"",a,c,b,a-b);
        if(c=='*')
            printf(""%d%c%d=%d\n"",a,c,b,a*b);
        if(c=='/')
            printf(""%d%c%d=%d\n"",a,c,b,a/b);
    }
    return 0;
}",376,537,
2874055,0,17648,15756239108,77,0,220,1624951717,192.168.0.96,2,"#include <stdio.h>
int main()
{
    double a,b,c;
    scanf(""%lf %lf"",&a,&b);
    if(a<=0||a>=168)
    {
        printf(""input is wrong!\n"");
    }
    else
    {
        if(a<40)
        {
            c=a*b;
        }
        else
        {
            if(a<=60)
            {
                c=40*b+(a-40)*1.5*b;
            }
            else
            {
                c=40*b+20*1.5*b+(a-60)*3*b;
            }
        }
        printf(""%g\n"",c);
    }
    return 0;
}",475,537,
2874056,0,16875,5120200964,321,0,220,1624951717,192.168.0.96,2,"#include<stdio.h>
int f(int n)
{
	if(n==1||n==0)
	return 1;
	else
	return f(n-1)*n;
} 
int main()
{
	int n,f(int n);
	scanf(""%d"",&n);
	printf(""%d\n"",f(n));
	return 0;
}
",169,538,
2874057,0,17159,indigo,78,0,216,1624951736,192.168.0.96,2,"#include <stdio.h>
#include <stdlib.h>

int main()
{
    int year, month, day;
    int yd, md; // 定义年份和月份代码
    int dh; // 定义dh为代码和
    int xin;
    scanf(""%d%d%d"", &year, &month, &day);
    int yushu1, yushu2;
    yd = ((year%100)/4 + (year%100))%7;
    yushu1 = year%4;
    yushu2 = year%100;
    if(yushu1 = 0 && yushu2 != 0) // 能被4整除不能被100整除是闰年
    {
        if(month == 1)
        {
            md = 5;
        }
        if(month == 2)
        {
            md = 1;
        }
        if(month == 3)
        {
            md = 2;
        }
        if(month == 4)
        {
            md = 5;
        }
        if(month == 5)
        {
            md = 0;
        }
        if(month == 6)
        {
            md = 3;
        }
        if(month == 7)
        {
            md = 5;
        }
        if(month == 8)
        {
            md = 1;
        }
        if(month == 9)
        {
            md = 4;
        }
        if(month == 10)
        {
            md = 6;
        }
        if(month == 11)
        {
            md = 2;
        }
        if(month == 12)
        {
            md = 4;
        }
        xin = (day+md+yd)%7;
        switch(xin)
        {
            case 1:printf(""Monday\n"");
            break;
            case 2:printf(""Tuesday\n"");
            break;
            case 3:printf(""Wednesday\n"");
            break;
            case 4:printf(""Thursday\n"");
            break;
            case 5:printf(""Friday\n"");
            break;
            case 6:printf(""Saturday\n"");
            break;
            case 7:printf(""Sunday\n"");
            break;
        }
    }
    else
    {
        if(month == 1)
        {
            md = 6;
        }
        if(month == 2)
        {
            md = 2;
        }
        if(month == 3)
        {
            md = 2;
        }
        if(month == 4)
        {
            md = 5;
        }
        if(month == 5)
        {
            md = 0;
        }
        if(month == 6)
        {
            md = 3;
        }
        if(month == 7)
        {
            md = 5;
        }
        if(month == 8)
        {
            md = 1;
        }
        if(month == 9)
        {
            md = 4;
        }
        if(month == 10)
        {
            md = 6;
        }
        if(month == 11)
        {
            md = 2;
        }
        if(month == 12)
        {
            md = 4;
        }
        xin = (day+md+yd) % 7;
        switch(xin)
        {
            case 1:printf(""Monday\n"");
            break;
            case 2:printf(""Tuesday\n"");
            break;
            case 3:printf(""Wednesday\n"");
            break;
            case 4:printf(""Thursday\n"");
            break;
            case 5:printf(""Friday\n"");
            break;
            case 6:printf(""Saturday\n"");
            break;
            case 7:printf(""Sunday\n"");
            break;
    	}
    }
    return 0;
}
",2881,537,
2874059,0,16786,Albatron泠凌,82,0,220,1624951736,192.168.0.96,2,"#include<stdio.h>
int f(int n,int r)
{
    if(r==0)
        return 1;//注意调用本身到r==0时要返回1，否则会r一直减下去
    else
        return f(n,r-1)*(n-r+1)/r;//运用公式
}
int main()
{
    int n,r;
    while(~scanf(""%d%d"",&n,&r))
    {
        int f(int n,int r);
        if(n==0&&r==0)
            return 0;
        else if(n<r)
            printf(""error!\n"");
        else
        {
          printf(""%d\n"",f(n,r));

        }
    }
    return 0;
}",428,538,
2874061,0,16786,Albatron泠凌,281,0,220,1624951751,192.168.0.96,2,"#include<stdio.h>
int f(int u, int d,int c,int h)
{	
	int t=0;
	while(c<h)
	{
		c+=u;
		t++;
		if(c>=h)
		break;
		else
		c-=d;
		t++;
	}
	return t; 
} 
int main()
{
	int h,u,d,c=0; 
	
	while(~scanf(""%d%d%d"",&h,&u,&d)) 
	{
		if(h==0&&u==0&d==0)
		return 0;
		int f(int u,int d,int c,int h);
		printf(""%d\n"",f(u,d,c,h));
	}
	return 0;
}",335,538,
