className,score,maxScore,minScore
计科类2001,17.17,30.0,6.0
计科类2002,18.98,30.0,6.0
计科类2003,11.5,24.32,1.8
计科类2004,8.68,12.6,1.44
计科类2005,12.62,28.32,0.84
计科类2006,21.66,27.0,10.96
计科类2007,13.43,30.0,0.0
计科类2008,18.72,28.32,7.8
计科类2009,9.65,19.12,0.0
计科类2010,15.63,24.0,0.0
计科类2011,15.62,23.52,0.0
计科类2012,15.05,30.0,0.0
计科类2013,18.72,30.0,10.0a














计科类2014,20.12,30.0,10.0
计科类2015,13.61,18.28,6.0
计科类2016,13.53,18.6,4.0
计科类2017,10.6,18.0,0.0
计科类2018,18.64,30.0,5.0
计科类2019,14.88,24.6,0.0
计科类2020,8.59,15.68,0.0
