pap_pro_id,exam_id,exam_paper_id,exam_param_id,problem_id,order,last_submit_time,submit_id,is_aced,used_time,submit_count,score,create_time,modify_time,modify_user_id,know_name
115260,133,22541,829,3,0,2022-01-05 11:13:10,447722,5,0,1,0,2022-01-05 09:27:57,2022-01-05 11:13:12,-1,动态规划
115261,133,22541,830,32,1,2022-01-05 09:56:12,444528,1,3072,3,6,2022-01-05 09:27:57,2022-01-05 09:56:14,-1,动态规划
115262,133,22541,831,35,2,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,贪心策略
115263,133,22541,832,31,3,2022-01-05 10:31:29,445890,8,0,2,0,2022-01-05 09:27:57,2022-01-05 10:31:31,-1,时空权衡
115264,133,22541,833,445,4,2022-01-05 10:21:48,445492,1,5808,4,6,2022-01-05 09:27:57,2022-01-05 10:21:51,-1,迭代改进
115255,133,22542,829,3,0,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,动态规划
115256,133,22542,830,32,1,2022-01-05 10:28:12,445748,1,2592,1,6,2022-01-05 09:27:57,2022-01-05 10:28:13,-1,动态规划
115257,133,22542,831,35,2,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,贪心策略
115258,133,22542,832,31,3,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,时空权衡
115259,133,22542,833,445,4,2022-01-05 11:11:32,447648,1,19592,13,6,2022-01-05 09:27:57,2022-01-05 11:11:33,-1,迭代改进
115250,133,22543,829,3,0,2022-01-05 11:04:02,447322,1,7142,3,6,2022-01-05 09:27:57,2022-01-05 11:04:03,-1,动态规划
115251,133,22543,830,32,1,2022-01-05 11:06:05,447403,1,33665,25,6,2022-01-05 09:27:57,2022-01-05 11:06:07,-1,动态规划
115252,133,22543,831,35,2,2022-01-05 11:02:59,447286,1,4679,1,6,2022-01-05 09:27:57,2022-01-05 11:03:01,-1,贪心策略
115253,133,22543,832,31,3,2022-01-05 11:07:33,447476,6,0,12,0,2022-01-05 09:27:57,2022-01-05 11:07:35,-1,时空权衡
115254,133,22543,833,445,4,2022-01-05 11:03:13,447294,1,3055,3,6,2022-01-05 09:27:57,2022-01-05 11:03:13,-1,迭代改进
115245,133,22544,829,629,0,2022-01-05 10:34:56,446059,1,2996,1,6,2022-01-05 09:27:57,2022-01-05 10:34:58,-1,动态规划
115246,133,22544,830,32,1,2022-01-05 11:07:48,447487,1,4968,1,6,2022-01-05 09:27:57,2022-01-05 11:07:51,-1,动态规划
115247,133,22544,831,35,2,,,0,0,0,0,2022-01-05 09:27:57,2022-01-05 09:27:57,3088,贪心策略
115248,133,22544,832,449,3,2022-01-05 11:09:50,447570,2,0,6,4,2022-01-05 09:27:57,2022-01-14 17:37:06,3088,时空权衡
115249,133,22544,833,445,4,2022-01-05 10:07:32,444840,1,1352,1,6,2022-01-05 09:27:57,2022-01-05 10:07:34,-1,迭代改进
115240,133,22545,829,628,0,2022-01-05 10:40:01,446272,1,4501,2,6,2022-01-05 09:27:57,2022-01-05 10:40:03,-1,动态规划
115241,133,22545,830,32,1,2022-01-05 10:18:24,445334,1,5604,4,6,2022-01-05 09:27:57,2022-01-05 10:18:26,-1,动态规划
