submitTime,count,score
1641347400000,1,3
1641347460000,3,11
1641347520000,11,63
1641347580000,10,113
1641347640000,12,170
1641347700000,11,212
1641347760000,11,243
1641347820000,14,286
1641347880000,10,309
1641347940000,22,368
1641348000000,19,421
1641348060000,14,506
1641348120000,24,615
1641348180000,33,672
1641348240000,44,702
1641348300000,54,756
1641348360000,46,784
1641348420000,45,851
1641348480000,30,916
1641348540000,43,985
1641348600000,50,1065
1641348660000,60,1120
1641348720000,47,1196
1641348780000,45,1221
1641348840000,42,1277
1641348900000,45,1321
1641348960000,40,1399
1641349020000,47,1459
1641349080000,48,1498
1641349140000,46,1528
1641349200000,49,1589
1641349260000,43,1670
1641349320000,42,1753
1641349380000,43,1811
1641349440000,36,1882
1641349500000,44,1941
1641349560000,33,2005
1641349620000,39,2034
1641349680000,56,2087
1641349740000,45,2121
1641349800000,35,2132
1641349860000,53,2176
1641349920000,61,2199
1641349980000,33,2231
1641350040000,46,2276
1641350100000,40,2287
1641350160000,30,2301
1641350220000,37,2339
1641350280000,50,2340
1641350340000,49,2344
1641350400000,49,2350
1641350460000,53,2354
1641350520000,53,2376
1641350580000,46,2389
1641350640000,36,2395
1641350700000,41,2412
1641350760000,50,2454
1641350820000,36,2484
1641350880000,38,2498
1641350940000,35,2512
1641351000000,43,2543
1641351060000,36,2574
1641351120000,42,2580
1641351180000,52,2612
1641351240000,51,2623
1641351300000,41,2645
1641351360000,46,2661
1641351420000,60,2683
1641351480000,49,2688
1641351540000,44,2693
1641351600000,42,2704
1641351660000,38,2714
1641351720000,36,2719
1641351780000,34,2727
1641351840000,40,2743
1641351900000,40,2763
1641351960000,48,2770
1641352020000,48,2777
1641352080000,35,2783
1641352140000,47,2794
1641352200000,43,2813
1641352260000,44,2819
1641352320000,45,2828
1641352380000,47,2833
1641352440000,32,2841
1641352500000,38,2853
1641352560000,34,2859
1641352620000,33,2862
1641352680000,44,2881
1641352740000,54,2894
1641352800000,30,2905
1641352860000,44,2919
1641352920000,36,2925
1641352980000,33,2931
1641353040000,30,2940
1641353100000,25,2948
1641353160000,37,2953
1641353220000,51,2957
1641353280000,44,2961
1641353340000,48,2965
1641353400000,41,2971
1641353460000,53,2974
1641353520000,31,2982
1641353580000,28,2987
1641353640000,40,2992
1641353700000,45,2994
1641353760000,45,2999
1641353820000,48,3004
1641353880000,39,3011
1641353940000,47,3018
1641354000000,44,3023
1641354060000,37,3031
1641354120000,39,3039
1641354180000,32,3046
1641354240000,20,3055
1641354300000,21,3062
1641354360000,24,3068
1641354420000,18,3076
1641354480000,19,3088
1641354540000,30,3096
1641354600000,26,3111
1641354660000,31,3117
1641354720000,35,3123
1641354780000,24,3129
1641354840000,27,3133
1641354900000,31,3139
1641354960000,34,3143
1641355020000,21,3146
1641355080000,36,3148
1641355140000,32,3154
1641355200000,35,3159
1641355260000,22,3162
1641355320000,28,3166
1641355380000,26,3171
1641355440000,25,3174
1641355500000,44,3177
1641355560000,41,3180
1641355620000,45,3184
1641355680000,45,3189
1641355740000,51,3192
1641355800000,30,3201
1641355860000,23,3228
1641355920000,35,3249
1641355980000,25,3267
1641356040000,30,3297
